ARABIC,ENGLISH
كُلّ,All
يحاول,Try
نحو,Toward
أشهر,Months
مثير,Thrilling
شركة,a company
تفهم,Understand
اسف,Sorry
الجديدة,New
لكل,for every
أصدقاء,friends
النوع,Type
الجيد,Good
اى,Which
إليها,to her
بأني,By me
ميت,dead
بيننا,Between us
الرب,God
عملية,proces
ذو,Baccalaureate
بيتر,Peter
بعضنا,Some of us
القضية,the case
وكل,And all
أحضر,Bring
قيد,Restriction
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,Clear
دعيني,Leave me
تفضل,please enter
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Listen
تأخذ,Take
قول,say
العائلة,the family
بنفسك,by yourself
موعد,date
عندي,I have
أثناء,during
ممكن,maybe
تخبرني,You tell me
إذًا,if
الكبير,Great
صاح,Hoot
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,You
ولكنه,But
حبيبتي,My love
تذكر,to remember
أمك,Your mother
مستحيل,No way
اعتقدت,I believed
مليون,million
إليّ,to me
علم,Science
قل,Say
طلبت,Requested
ربّما,Probably
ذاك,that
حسن,Hassan
الأخرى,The other
يحتاج,Need
تعود,Return
الهي,divine
زلت,Remove
نسيت,I forgot
وصلت,Arrived
انتظري,Wait
نعلم,Teach
أنّي,that I
النظر,look
إذهب,Go
أتريد,you want to
عدة,several
سيحدث,It will happen
ابن,Son
لديكِ,You have
الصعب,Difficult
تقريباً,Approximately
الحظ,Luck
ألف,one thousand
مساعدة,help
تصبح,Become
سأقوم,I will do
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,Dr
الحقيقي,Real
منكم,You are from you
دي,De
يمكنكِ,you may
أربعة,four
القليل,Little
يزال,Remove
الدم,the blood
إننا,We are
أسرع,faster
البداية,the start
سأعود,I'll come back
صعب,Difficult
بعيدا,Away
كن,Be
عرض,Show
بكثير,Much
وعندما,And when
اسمه,its name
تفكر,Contemplate
آنسة,Ms
تعتقدين,You think
فقدت,Lost
مهم,Important
يتحدث,He speaks
بتلك,That
لأي,for any
بعدها,Then
يريدون,They want
يوماً,One day
يعود,Back
جاء,came
هُناك,there
أتعلمين,You know
ترك,to leave
المناسب,the appropriate
السؤال,the question
اكون,I be
الآخرين,Others
تقصد,You mean
اتصل,Call
تبدين,You look
للعمل,for work
معهم,With them
التالي,next one
شرطة,police
قط,Never
جريمة,a crime
أبحث,Search
توقفي,Stop
بنفسي,by myself
الشمس,the sun
فكرت,I think
يفترض,Supposedly
السماء,The sky
الوصول,Access
الجانب,the side
أحصل,Get
عشرة,ten
معا,together
الداخل,Inside
أعود,I come back
المعلومات,the information
تحمل,Bearing
حَسناً,Good
أطفال,Children
الثاني,Second
جيّد,Good
هذة,this is
ببعض,Some
يارجل,Hey man
ماري,Marie
بكم,with you
وداعاً,Good-bye
يعد,Prepare
الأيام,the days
أسوأ,worst
مشاكل,Problems
